educ,age,cigpric,income,restaurn,smoker,cigs_intervals,cigs
12.0,42,61.4980010986328,20000,1,0,,0
16.0,32,63.2529983520508,30000,1,0,,0
18.0,36,62.9480018615723,30000,1,0,,0
16.0,57,63.2529983520508,30000,1,0,,0
12.0,31,62.4650001525879,12500,1,0,,0
10.0,17,62.2639999389648,20000,1,0,,0
10.0,17,62.9480018615723,20000,1,0,,0
8.0,45,59.3759994506836,20000,0,1,2,8
12.0,19,59.6209983825684,30000,0,1,2,10
8.0,74,54.3380012512207,5500,0,0,,0
12.0,46,53.6529998779297,30000,0,1,4,25
13.5,27,54.9249992370605,30000,0,0,,0
12.0,66,56.2939987182617,20000,0,0,,0
16.0,44,54.9249992370605,30000,0,0,,0
12.0,33,55.0219993591309,30000,0,0,,0
12.0,64,54.1419982910156,20000,0,0,,0
13.5,54,57.4850006103516,30000,0,1,1,1
10.0,27,57.5849990844727,12500,0,1,4,30
6.0,75,57.4850006103516,4500,0,0,,0
10.0,19,53.2620010375977,8500,0,0,,0
6.0,69,56.9790000915527,2500,0,1,3,20
12.0,30,55.7070007324219,8500,0,0,,0
12.0,64,56.0979995727539,12500,0,0,,0
13.5,37,57.3359985351562,30000,0,0,,0
12.0,31,54.4360008239746,30000,0,0,,0
12.0,30,57.5849990844727,20000,0,1,1,2
6.0,38,55.0149993896484,30000,1,0,,0
12.0,20,59.6529998779297,30000,1,0,,0
12.0,21,59.6529998779297,3500,1,1,3,20
12.0,19,56.8040008544922,12500,1,0,,0
18.0,71,58.4640007019043,12500,0,0,,0
10.0,49,63.1030006408691,20000,0,1,3,18
10.0,42,55.1679992675781,8500,0,0,,0
8.0,54,55.0069999694824,12500,0,1,2,10
13.5,24,55.1679992675781,20000,0,1,3,20
12.0,60,54.3219985961914,30000,0,0,,0
12.0,54,55.1679992675781,20000,0,0,,0
10.0,28,53.8790016174316,8500,0,1,3,20
8.0,67,64.9940032958984,12500,0,0,,0
12.0,56,65.5500030517578,20000,0,1,4,40
16.0,36,64.0479965209961,30000,0,0,,0
12.0,25,64.4380035400391,30000,0,0,,0
13.5,34,65.8280029296875,20000,0,0,,0
10.0,20,65.6050033569336,20000,0,1,1,5
13.5,21,64.4929962158203,30000,0,1,2,10
12.0,42,64.9380035400391,8500,0,0,,0
13.5,28,64.5490036010742,12500,0,1,3,20
18.0,29,65.4390029907227,20000,0,0,,0
8.0,70,64.9940032958984,5500,0,1,3,20
12.0,32,66.3280029296875,12500,0,1,4,30
13.5,42,65.7720031738281,30000,0,1,4,40
10.0,17,65.161003112793,30000,0,1,4,30
12.0,24,66.7839965820312,20000,0,0,,0
15.0,64,66.3280029296875,20000,0,0,,0
12.0,57,65.7170028686523,30000,0,1,5,60
16.0,51,64.1039962768555,30000,0,0,,0
13.5,29,65.7170028686523,12500,0,1,3,18
10.0,66,64.4380035400391,6500,0,1,3,20
13.5,62,64.3820037841797,30000,0,1,3,15
16.0,29,66.3280029296875,30000,0,1,4,40
6.0,58,65.6050033569336,8500,0,0,,0
15.0,53,65.161003112793,20000,0,0,,0
13.5,38,65.4390029907227,30000,0,0,,0
12.0,24,64.1039962768555,20000,0,0,,0
8.0,59,66.3840026855469,20000,0,0,,0
16.0,30,66.2170028686523,30000,0,0,,0
8.0,37,64.3820037841797,20000,0,0,,0
12.0,43,65.995002746582,20000,0,0,,0
12.0,60,66.1620025634766,20000,0,0,,0
10.0,24,64.9940032958984,12500,0,1,4,40
12.0,60,64.5490036010742,12500,0,0,,0
8.0,82,62.0400009155273,4500,0,0,,0
12.0,61,64.1920013427734,20000,0,0,,0
10.0,66,64.5070037841797,30000,0,0,,0
15.0,33,61.8499984741211,30000,0,0,,0
10.0,26,64.5640029907227,20000,0,1,3,19
8.0,85,64.1920013427734,20000,0,1,3,20
13.5,32,62.1040000915527,20000,0,0,,0
10.0,27,63.3689994812012,8500,0,0,,0
12.0,30,64.1289978027344,30000,0,1,3,20
12.0,30,62.6730003356934,5500,0,0,,0
13.5,47,63.1790008544922,30000,0,0,,0
12.0,18,61.8499984741211,6500,0,0,,0
12.0,20,62.4199981689453,6500,0,0,,0
18.0,32,62.5470008850098,30000,0,0,,0
18.0,30,61.9770011901855,20000,0,0,,0
10.0,17,63.6860008239746,20000,0,0,,0
12.0,22,62.6100006103516,12500,0,1,2,10
13.5,43,61.7869987487793,30000,0,0,,0
10.0,56,63.3059997558594,20000,0,1,4,40
6.0,64,61.9770011901855,6500,0,0,,0
6.0,76,62.9259986877441,12500,0,0,,0
12.0,28,64.0019989013672,12500,0,1,4,30
18.0,37,64.6510009765625,30000,0,0,,0
15.0,38,63.6220016479492,20000,0,0,,0
16.0,52,62.1040000915527,20000,0,1,3,20
8.0,68,63.1160011291504,12500,0,0,,0
12.0,75,62.9259986877441,12500,0,0,,0
13.5,54,61.8499984741211,30000,0,1,3,20
18.0,36,61.8499984741211,30000,0,1,4,40
6.0,37,62.3569984436035,4500,0,0,,0
13.5,23,62.4199981689453,12500,0,1,4,28
6.0,36,64.1920013427734,6500,0,1,1,5
10.0,44,63.1160011291504,30000,0,0,,0
18.0,56,64.1920013427734,20000,0,0,,0
10.0,64,64.3190002441406,12500,0,0,,0
13.5,45,62.9900016784668,30000,0,1,4,28
12.0,56,61.7869987487793,30000,0,1,4,30
8.0,62,63.1790008544922,30000,0,0,,0
15.0,62,62.7999992370605,12500,0,0,,0
16.0,52,64.5640029907227,30000,0,0,,0
10.0,18,63.1160011291504,30000,0,0,,0
12.0,47,64.0650024414062,500,0,0,,0
18.0,52,63.1790008544922,30000,0,0,,0
12.0,18,64.1289978027344,20000,0,0,,0
13.5,26,64.0650024414062,12500,0,1,3,20
15.0,22,64.6220016479492,30000,0,0,,0
6.0,65,63.1160011291504,6500,0,0,,0
12.0,38,63.8759994506836,20000,0,1,3,20
13.5,20,63.0530014038086,20000,0,0,,0
16.0,41,62.0400009155273,20000,0,1,5,60
16.0,28,63.3059997558594,20000,0,1,3,20
16.0,57,62.9259986877441,20000,0,0,,0
10.0,44,63.1790008544922,8500,0,1,2,7
13.5,32,64.4779968261719,20000,0,0,,0
13.5,22,64.1289978027344,8500,0,1,3,15
16.0,30,64.3820037841797,30000,0,0,,0
16.0,30,62.4199981689453,12500,0,0,,0
10.0,59,63.0530014038086,20000,0,1,4,40
6.0,42,64.0019989013672,8500,0,0,,0
10.0,31,63.4329986572266,12500,0,1,3,20
12.0,39,63.3689994812012,20000,0,0,,0
8.0,65,63.6860008239746,12500,0,0,,0
10.0,78,62.1040000915527,12500,0,1,2,10
10.0,17,63.6220016479492,4500,0,0,,0
18.0,34,63.5589981079102,30000,0,0,,0
16.0,39,64.6510009765625,30000,0,0,,0
10.0,49,62.7999992370605,12500,0,0,,0
12.0,51,64.1920013427734,30000,0,0,,0
12.0,19,61.8499984741211,20000,0,0,,0
12.0,26,63.5589981079102,20000,0,1,4,30
12.0,82,62.2929992675781,6500,0,0,,0
12.0,38,64.1289978027344,3500,0,1,2,10
12.0,32,62.7999992370605,20000,0,1,4,30
10.0,27,61.7239990234375,3500,0,1,4,30
12.0,35,64.5640029907227,20000,0,0,,0
10.0,54,63.7490005493164,20000,0,0,,0
12.0,37,61.9770011901855,30000,0,1,3,20
10.0,60,64.6510009765625,12500,0,1,2,10
10.0,17,63.4329986572266,30000,0,1,3,11
16.0,28,64.5640029907227,20000,0,1,4,40
8.0,35,62.1669998168945,12500,0,1,4,40
10.0,40,64.0019989013672,8500,0,1,3,20
6.0,24,64.1289978027344,3500,0,0,,0
18.0,41,63.7490005493164,30000,0,0,,0
8.0,47,61.7869987487793,20000,0,0,,0
13.5,22,46.3139991760254,6500,0,0,,0
18.0,29,44.726001739502,20000,0,0,,0
10.0,17,44.3810005187988,30000,0,1,4,30
13.5,40,47.6479988098145,30000,0,1,4,40
13.5,32,46.3139991760254,8500,0,1,2,10
13.5,47,47.0040016174316,30000,0,0,,0
10.0,58,46.6590003967285,20000,0,1,3,20
18.0,74,44.4500007629395,30000,0,0,,0
12.0,49,47.492000579834,30000,0,1,3,20
6.0,69,47.2109985351562,5500,0,0,,0
16.0,25,47.2109985351562,12500,0,0,,0
6.0,71,45.2779998779297,1500,0,0,,0
12.0,66,57.3520011901855,6500,0,1,1,1
10.0,25,57.4900016784668,12500,0,1,3,20
10.0,50,59.1510009765625,20000,0,0,,0
13.5,19,57.0299987792969,2500,0,0,,0
6.0,28,57.1679992675781,3500,0,1,1,3
15.0,22,58.9959983825684,12500,0,0,,0
13.5,49,58.0880012512207,30000,0,1,3,20
12.0,39,57.5359992980957,20000,0,1,3,20
10.0,19,58.640998840332,3500,0,1,2,9
12.0,60,57.8120002746582,30000,0,0,,0
18.0,37,58.1809997558594,20000,0,1,3,18
12.0,62,58.0880012512207,12500,0,0,,0
12.0,20,58.8919982910156,1500,0,0,,0
16.0,23,58.1349983215332,4500,0,1,1,1
10.0,45,56.8460006713867,20000,0,1,5,60
12.0,28,57.3979988098145,30000,0,1,4,40
12.0,20,59.1510009765625,30000,0,1,2,6
12.0,51,58.3190002441406,20000,0,0,,0
12.0,62,57.3979988098145,6500,0,0,,0
12.0,55,59.0480003356934,30000,0,0,,0
16.0,26,58.1809997558594,12500,0,0,,0
12.0,41,58.0880012512207,20000,0,1,2,10
13.5,67,58.2270011901855,12500,0,0,,0
10.0,19,57.3979988098145,30000,0,1,3,20
18.0,33,56.7540016174316,20000,0,0,,0
18.0,29,57.3979988098145,12500,0,0,,0
12.0,49,57.4440002441406,20000,0,1,3,20
12.0,29,59.0480003356934,3500,0,1,3,20
15.0,32,58.8409996032715,20000,0,0,,0
16.0,31,57.8120002746582,30000,0,1,5,60
10.0,17,57.9039993286133,20000,0,1,4,50
13.5,33,57.5359992980957,20000,0,0,,0
12.0,21,58.7369995117188,12500,0,0,,0
10.0,59,58.3190002441406,20000,0,1,4,30
13.5,25,56.984001159668,30000,0,1,3,20
8.0,32,57.3979988098145,30000,0,1,5,60
12.0,25,58.4109992980957,20000,0,0,,0
13.5,61,58.7369995117188,6500,0,1,4,40
18.0,66,58.8919982910156,30000,0,0,,0
10.0,22,57.3979988098145,12500,0,1,4,25
12.0,24,57.4900016784668,6500,0,1,2,10
18.0,43,58.1349983215332,30000,0,0,,0
12.0,51,59.0480003356934,20000,0,0,,0
16.0,45,57.8120002746582,30000,0,0,,0
12.0,45,58.8409996032715,20000,0,0,,0
18.0,66,57.3979988098145,8500,0,0,,0
12.0,38,58.8919982910156,30000,0,0,,0
10.0,49,56.8460006713867,20000,0,1,4,30
13.5,29,57.4440002441406,8500,0,1,1,1
16.0,45,56.8460006713867,30000,0,1,4,33
18.0,43,60.8730010986328,30000,0,1,5,80
12.0,49,61.1559982299805,30000,0,0,,0
13.5,20,62.7179985046387,30000,0,0,,0
13.5,41,63.2729988098145,20000,0,1,3,20
12.0,31,58.4599990844727,20000,0,0,,0
13.5,28,60.0209999084473,12500,0,0,,0
12.0,36,59.0279998779297,12500,0,0,,0
18.0,37,54.4290008544922,20000,0,0,,0
12.0,18,53.3440017700195,500,0,0,,0
15.0,22,52.5789985656738,2500,0,0,,0
18.0,33,52.7000007629395,20000,0,0,,0
10.0,76,53.1430015563965,4500,0,0,,0
13.5,34,52.7000007629395,20000,0,0,,0
13.5,78,60.7859992980957,2500,0,0,,0
12.0,31,60.9739990234375,3500,0,1,3,15
10.0,42,61.2690010070801,12500,0,0,,0
18.0,32,61.2159996032715,5500,0,1,2,10
8.0,80,60.7459983825684,12500,0,0,,0
12.0,40,61.7509994506836,8500,0,1,2,10
16.0,53,61.242000579834,30000,0,0,,0
6.0,82,60.826000213623,12500,0,0,,0
6.0,18,61.0550003051758,8500,0,1,3,11
8.0,46,61.0810012817383,12500,0,1,2,10
12.0,60,61.2019996643066,20000,0,0,,0
8.0,78,61.6839981079102,6500,0,0,,0
12.0,47,60.9469985961914,30000,0,0,,0
10.0,17,60.8129997253418,30000,0,0,,0
12.0,27,60.7589988708496,20000,0,1,1,2
18.0,48,61.242000579834,30000,0,0,,0
18.0,39,61.0279998779297,30000,0,0,,0
12.0,25,61.2290000915527,30000,0,0,,0
12.0,30,61.8849983215332,3500,0,1,2,10
18.0,59,60.7459983825684,20000,0,0,,0
16.0,47,61.0410003662109,30000,0,0,,0
12.0,32,61.1889991760254,8500,0,1,3,20
10.0,17,61.1889991760254,20000,0,1,3,20
13.5,23,60.7859992980957,30000,0,0,,0
12.0,20,61.2560005187988,12500,0,0,,0
13.5,32,60.9739990234375,20000,0,0,,0
13.5,19,61.0009994506836,30000,0,1,2,10
12.0,23,61.0950012207031,20000,0,0,,0
10.0,18,61.2290000915527,6500,0,0,,0
12.0,54,61.2290000915527,20000,0,1,4,30
12.0,65,60.9469985961914,20000,0,1,3,20
8.0,55,60.9739990234375,6500,0,0,,0
12.0,29,61.0009994506836,30000,0,1,4,30
12.0,19,61.8849983215332,5500,0,1,2,8
16.0,27,60.7859992980957,12500,0,0,,0
12.0,26,61.2560005187988,12500,0,1,4,35
10.0,59,61.1889991760254,30000,0,1,3,20
12.0,25,60.7319984436035,20000,0,0,,0
16.0,78,61.0410003662109,12500,0,0,,0
6.0,69,60.826000213623,6500,0,1,3,20
10.0,58,61.2159996032715,20000,0,0,,0
15.0,24,51.0,12500,0,0,,0
12.0,54,51.0,12500,0,0,,0
12.0,48,51.0,20000,0,0,,0
12.0,59,51.0400009155273,30000,0,1,4,30
10.0,38,51.0400009155273,20000,0,1,4,40
16.0,29,50.9189987182617,30000,0,0,,0
12.0,33,51.443000793457,12500,0,1,4,50
6.0,32,51.0,2500,0,0,,0
18.0,36,57.9819984436035,30000,0,0,,0
6.0,49,59.9959983825684,30000,0,1,3,20
16.0,69,58.0400009155273,20000,0,0,,0
12.0,18,60.8680000305176,30000,0,1,3,20
18.0,72,57.9819984436035,20000,0,0,,0
18.0,35,60.8030014038086,12500,0,1,4,40
8.0,71,58.7879981994629,1500,0,0,,0
13.5,47,58.6150016784668,30000,0,0,,0
12.0,20,58.4420013427734,500,0,0,,0
12.0,43,60.1679992675781,20000,0,0,,0
12.0,65,60.3470001220703,4500,0,0,,0
8.0,23,60.226001739502,2500,0,1,2,10
12.0,44,59.9959983825684,30000,0,1,4,40
13.5,28,63.9889984130859,20000,0,0,,0
18.0,67,64.2350006103516,20000,0,0,,0
13.5,32,62.8580017089844,12500,0,0,,0
8.0,37,63.5190010070801,20000,0,0,,0
13.5,32,63.9280014038086,12500,0,1,1,4
6.0,57,63.5769996643066,20000,0,0,,0
10.0,55,63.1450004577637,20000,0,1,4,30
12.0,31,63.6629981994629,30000,0,0,,0
12.0,57,63.0880012512207,30000,0,0,,0
13.5,54,63.7439994812012,30000,0,0,,0
16.0,24,63.9889984130859,20000,0,1,4,25
13.5,33,63.6920013427734,12500,0,0,,0
16.0,49,62.8289985656738,30000,0,0,,0
10.0,19,63.5480003356934,12500,0,0,,0
16.0,50,62.5699996948242,8500,0,1,3,20
18.0,58,62.8289985656738,30000,0,0,,0
10.0,65,62.9729995727539,20000,0,0,,0
10.0,18,64.2350006103516,8500,0,0,,0
12.0,31,63.2319984436035,30000,0,1,3,20
12.0,34,62.8289985656738,20000,0,0,,0
12.0,55,63.4900016784668,30000,0,0,,0
16.0,28,63.2599983215332,12500,0,0,,0
12.0,65,62.5410003662109,8500,0,1,3,20
8.0,68,63.9280014038086,5500,0,1,3,15
13.5,29,62.8289985656738,30000,0,0,,0
12.0,29,62.6559982299805,20000,0,1,2,10
12.0,61,62.8580017089844,8500,0,0,,0
16.0,45,63.375,30000,0,0,,0
15.0,66,63.318000793457,20000,0,0,,0
12.0,18,63.5480003356934,30000,0,0,,0
16.0,44,62.685001373291,30000,0,1,4,40
12.0,41,62.742000579834,20000,0,0,,0
6.0,31,62.8289985656738,8500,0,0,,0
12.0,61,63.5769996643066,4500,0,1,4,40
10.0,29,63.2319984436035,20000,0,0,,0
13.5,70,62.5699996948242,3500,0,1,3,12
6.0,49,63.6920013427734,5500,0,1,3,20
16.0,35,62.8860015869141,20000,0,0,,0
12.0,28,63.2029991149902,20000,0,1,3,15
12.0,30,63.5480003356934,20000,0,0,,0
13.5,23,63.9889984130859,12500,0,0,,0
12.0,35,62.7709999084473,20000,0,0,,0
12.0,24,63.2599983215332,8500,0,0,,0
16.0,22,63.6629981994629,30000,0,0,,0
10.0,49,63.6629981994629,30000,0,0,,0
12.0,38,63.2319984436035,30000,0,1,4,30
12.0,22,56.173999786377,30000,1,0,,0
16.0,45,56.5099983215332,20000,1,0,,0
18.0,39,56.173999786377,30000,1,0,,0
15.0,61,54.6300010681152,12500,1,0,,0
12.0,19,54.7639999389648,30000,1,0,,0
18.0,36,56.173999786377,20000,1,0,,0
10.0,21,54.7639999389648,30000,1,0,,0
16.0,38,54.6300010681152,30000,1,0,,0
12.0,39,46.931999206543,30000,0,0,,0
18.0,29,47.0349998474121,20000,0,0,,0
13.5,44,48.7980003356934,30000,0,0,,0
12.0,46,46.310001373291,30000,0,1,2,10
13.5,26,47.6570014953613,30000,0,0,,0
13.5,30,48.0709991455078,20000,0,0,,0
12.0,47,47.3460006713867,20000,0,1,4,40
6.0,64,48.5449981689453,20000,0,0,,0
12.0,18,47.5009994506836,20000,0,1,1,5
12.0,37,47.3460006713867,12500,0,1,3,20
10.0,67,47.6049995422363,12500,0,0,,0
10.0,29,47.8120002746582,20000,0,1,3,20
18.0,60,46.4659996032715,30000,0,1,1,5
12.0,39,46.7760009765625,20000,0,0,,0
13.5,59,46.310001373291,20000,0,1,3,15
6.0,75,46.5180015563965,1500,0,0,,0
12.0,19,48.5449981689453,30000,0,1,3,15
13.5,27,63.4500007629395,20000,0,1,2,6
13.5,62,62.2270011901855,20000,0,0,,0
12.0,63,63.1129989624023,30000,0,1,3,20
12.0,60,63.4080009460449,30000,0,0,,0
12.0,46,62.8600006103516,30000,0,1,3,20
12.0,28,62.2270011901855,6500,0,0,,0
13.5,20,62.2270011901855,20000,0,1,3,15
12.0,50,63.3660011291504,20000,0,0,,0
15.0,43,62.0999984741211,30000,0,0,,0
12.0,45,63.3660011291504,30000,0,1,5,55
12.0,62,63.2820014953613,6500,0,0,,0
6.0,70,63.2820014953613,4500,0,1,3,12
12.0,58,64.161003112793,12500,0,0,,0
12.0,21,64.1070022583008,30000,0,0,,0
13.5,27,63.0279998779297,1500,0,0,,0
18.0,47,64.213996887207,30000,0,0,,0
10.0,68,63.9990005493164,12500,0,0,,0
10.0,17,63.2820014953613,30000,0,1,1,2
16.0,35,62.2270011901855,20000,0,0,,0
12.0,37,62.6910018920898,30000,0,0,,0
16.0,30,63.8380012512207,20000,0,1,3,20
10.0,19,63.4080009460449,30000,0,0,,0
12.0,54,63.4930000305176,12500,0,1,4,30
12.0,41,63.8380012512207,30000,0,1,2,10
12.0,34,62.2270011901855,30000,0,0,,0
13.5,28,62.6910018920898,6500,0,1,3,20
13.5,26,62.185001373291,20000,0,1,4,30
12.0,18,62.4799995422363,30000,0,0,,0
12.0,19,62.8680000305176,20000,0,0,,0
6.0,29,61.2509994506836,20000,0,0,,0
8.0,60,59.9879989624023,12500,0,1,3,15
18.0,50,61.3930015563965,20000,0,0,,0
12.0,52,60.7070007324219,20000,0,1,4,40
15.0,22,61.2509994506836,30000,0,1,1,5
10.0,38,60.0359992980957,20000,0,1,4,40
10.0,63,60.2270011901855,12500,0,0,,0
16.0,23,60.9949989318848,12500,0,0,,0
18.0,52,61.818000793457,30000,0,1,3,20
18.0,31,61.6759986877441,12500,0,0,,0
16.0,30,60.7070007324219,20000,0,0,,0
10.0,18,59.9879989624023,20000,0,0,,0
10.0,47,59.6520004272461,30000,0,1,3,20
