name,height,mass,hair_color,skin_color,eye_color,birth_year,sex,gender,homeworld,species
Luke Skywalker,172,77.0,blond,fair,blue,19.0,male,masculine,Tatooine,Human
C-3PO,167,75.0,,gold,yellow,112.0,none,masculine,Tatooine,Droid
R2-D2,96,32.0,,"white, blue",red,33.0,none,masculine,Naboo,Droid
Darth Vader,202,136.0,none,white,yellow,41.9,male,masculine,Tatooine,Human
Leia Organa,150,49.0,brown,light,brown,19.0,female,feminine,Alderaan,Human
Owen Lars,178,120.0,"brown, grey",light,blue,52.0,male,masculine,Tatooine,Human
Beru Whitesun Lars,165,75.0,brown,light,blue,47.0,female,feminine,Tatooine,Human
R5-D4,97,32.0,,"white, red",red,,none,masculine,Tatooine,Droid
Biggs Darklighter,183,84.0,black,light,brown,24.0,male,masculine,Tatooine,Human
Obi-Wan Kenobi,182,77.0,"auburn, white",fair,blue-gray,57.0,male,masculine,Stewjon,Human
Anakin Skywalker,188,84.0,blond,fair,blue,41.9,male,masculine,Tatooine,Human
Wilhuff Tarkin,180,,"auburn, grey",fair,blue,64.0,male,masculine,Eriadu,Human
Chewbacca,228,112.0,brown,unknown,blue,200.0,male,masculine,Kashyyyk,Wookiee
Han Solo,180,80.0,brown,fair,brown,29.0,male,masculine,Corellia,Human
Greedo,173,74.0,,green,black,44.0,male,masculine,Rodia,Rodian
Jabba Desilijic Tiure,175,1358.0,,"green-tan, brown",orange,600.0,hermaphroditic,masculine,Nal Hutta,Hutt
Wedge Antilles,170,77.0,brown,fair,hazel,21.0,male,masculine,Corellia,Human
Jek Tono Porkins,180,110.0,brown,fair,blue,,,,Bestine IV,
Yoda,66,17.0,white,green,brown,896.0,male,masculine,,Yoda's species
Palpatine,170,75.0,grey,pale,yellow,82.0,male,masculine,Naboo,Human
Boba Fett,183,78.2,black,fair,brown,31.5,male,masculine,Kamino,Human
IG-88,200,140.0,none,metal,red,15.0,none,masculine,,Droid
Bossk,190,113.0,none,green,red,53.0,male,masculine,Trandosha,Trandoshan
Lando Calrissian,177,79.0,black,dark,brown,31.0,male,masculine,Socorro,Human
Lobot,175,79.0,none,light,blue,37.0,male,masculine,Bespin,Human
Ackbar,180,83.0,none,brown mottle,orange,41.0,male,masculine,Mon Cala,Mon Calamari
Mon Mothma,150,,auburn,fair,blue,48.0,female,feminine,Chandrila,Human
Arvel Crynyd,,,brown,fair,brown,,male,masculine,,Human
Wicket Systri Warrick,88,20.0,brown,brown,brown,8.0,male,masculine,Endor,Ewok
Nien Nunb,160,68.0,none,grey,black,,male,masculine,Sullust,Sullustan
Qui-Gon Jinn,193,89.0,brown,fair,blue,92.0,male,masculine,,Human
Nute Gunray,191,90.0,none,mottled green,red,,male,masculine,Cato Neimoidia,Neimodian
Finis Valorum,170,,blond,fair,blue,91.0,male,masculine,Coruscant,Human
Padmé Amidala,185,45.0,brown,light,brown,46.0,female,feminine,Naboo,Human
Jar Jar Binks,196,66.0,none,orange,orange,52.0,male,masculine,Naboo,Gungan
Roos Tarpals,224,82.0,none,grey,orange,,male,masculine,Naboo,Gungan
Rugor Nass,206,,none,green,orange,,male,masculine,Naboo,Gungan
Ric Olié,183,,brown,fair,blue,,male,masculine,Naboo,Human
Watto,137,,black,"blue, grey",yellow,,male,masculine,Toydaria,Toydarian
Sebulba,112,40.0,none,"grey, red",orange,,male,masculine,Malastare,Dug
Quarsh Panaka,183,,black,dark,brown,62.0,male,masculine,Naboo,Human
Shmi Skywalker,163,,black,fair,brown,72.0,female,feminine,Tatooine,Human
Darth Maul,175,80.0,none,red,yellow,54.0,male,masculine,Dathomir,Zabrak
Bib Fortuna,180,,none,pale,pink,,male,masculine,Ryloth,Twi'lek
Ayla Secura,178,55.0,none,blue,hazel,48.0,female,feminine,Ryloth,Twi'lek
Ratts Tyerel,79,15.0,none,"grey, blue",unknown,,male,masculine,Aleen Minor,Aleena
Dud Bolt,94,45.0,none,"blue, grey",yellow,,male,masculine,Vulpter,Vulptereen
Gasgano,122,,none,"white, blue",black,,male,masculine,Troiken,Xexto
Ben Quadinaros,163,65.0,none,"grey, green, yellow",orange,,male,masculine,Tund,Toong
Mace Windu,188,84.0,none,dark,brown,72.0,male,masculine,Haruun Kal,Human
Ki-Adi-Mundi,198,82.0,white,pale,yellow,92.0,male,masculine,Cerea,Cerean
Kit Fisto,196,87.0,none,green,black,,male,masculine,Glee Anselm,Nautolan
Eeth Koth,171,,black,brown,brown,,male,masculine,Iridonia,Zabrak
Adi Gallia,184,50.0,none,dark,blue,,female,feminine,Coruscant,Tholothian
Saesee Tiin,188,,none,pale,orange,,male,masculine,Iktotch,Iktotchi
Yarael Poof,264,,none,white,yellow,,male,masculine,Quermia,Quermian
Plo Koon,188,80.0,none,orange,black,22.0,male,masculine,Dorin,Kel Dor
Mas Amedda,196,,none,blue,blue,,male,masculine,Champala,Chagrian
Gregar Typho,185,85.0,black,dark,brown,,,,Naboo,
Cordé,157,,brown,light,brown,,,,Naboo,
Cliegg Lars,183,,brown,fair,blue,82.0,male,masculine,Tatooine,Human
Poggle the Lesser,183,80.0,none,green,yellow,,male,masculine,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58.0,female,feminine,Mirial,Mirialan
Barriss Offee,166,50.0,black,yellow,blue,40.0,female,feminine,Mirial,Mirialan
Dormé,165,,brown,light,brown,,female,feminine,Naboo,Human
Dooku,193,80.0,white,fair,brown,102.0,male,masculine,Serenno,Human
Bail Prestor Organa,191,,black,tan,brown,67.0,male,masculine,Alderaan,Human
Jango Fett,183,79.0,black,tan,brown,66.0,male,masculine,Concord Dawn,Human
Zam Wesell,168,55.0,blonde,"fair, green, yellow",yellow,,female,feminine,Zolan,Clawdite
Dexter Jettster,198,102.0,none,brown,yellow,,male,masculine,Ojom,Besalisk
Lama Su,229,88.0,none,grey,black,,male,masculine,Kamino,Kaminoan
Taun We,213,,none,grey,black,,female,feminine,Kamino,Kaminoan
Jocasta Nu,167,,white,fair,blue,,female,feminine,Coruscant,Human
R4-P17,96,,none,"silver, red","red, blue",,none,feminine,,Droid
Wat Tambor,193,48.0,none,"green, grey",unknown,,male,masculine,Skako,Skakoan
San Hill,191,,none,grey,gold,,male,masculine,Muunilinst,Muun
Shaak Ti,178,57.0,none,"red, blue, white",black,,female,feminine,Shili,Togruta
Grievous,216,159.0,none,"brown, white","green, yellow",,male,masculine,Kalee,Kaleesh
Tarfful,234,136.0,brown,brown,blue,,male,masculine,Kashyyyk,Wookiee
Raymus Antilles,188,79.0,brown,light,brown,,male,masculine,Alderaan,Human
Sly Moore,178,48.0,none,pale,white,,,,Umbara,
Tion Medon,206,80.0,none,grey,black,,male,masculine,Utapau,Pau'an
Finn,,,black,dark,dark,,male,masculine,,Human
Rey,,,brown,light,hazel,,female,feminine,,Human
Poe Dameron,,,brown,light,brown,,male,masculine,,Human
BB8,,,none,none,black,,none,masculine,,Droid
Captain Phasma,,,none,none,unknown,,female,feminine,,Human
